"schedule_key","team_id","opponent_team_id","is_home","points","fgm","fga","fg_pct","fg2m","fg2a","fg2_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","off_rebounds","def_rebounds","total_rebounds","assists","steals","blocks","blocks_received","turnovers","fouls","fouls_drawn","dunks","fast_break_points","second_chance_points","points_in_paint","possession","pace","off_rtg","def_rtg","net_rtg","ast_rtg","tov_rtg","pft_rtg","scp_rtg","efg_pct","ts_pct","ast_pct","tov_pct","ast_tov_ratio","play_pct","ft_d_pct","ft_freq","ft_rate","orb_pct","drb_pct","pft_pct","fbp_pct","scp_pct","pitp_pct","perimeter_pts_pct","pt2_attempt_pct","pt3_attempt_pct","pt2_points_share","pt3_points_share","ft_points_share","live_tov_pct","dead_tov_pct","live_tov_share","dead_tov_share","shot_chances","off_success_count","or_chances","dr_chances","tom","eff","vps","home_efg_pct","away_efg_pct","home_ts_pct","away_ts_pct","home_off_rtg","away_off_rtg","close_win_3pts_or_less","close_loss_3pts_or_less","pythagorean_win_pct","opp_possession","opp_efg_pct","opp_ts_pct","opp_fg2_pct","opp_fg3_pct","opp_pt2_attempt_pct","opp_pt3_attempt_pct","opp_pt2_points_share","opp_pt3_points_share","opp_ft_points_share","opp_ast_pct","opp_ast_tov_ratio","opp_ast_rtg","opp_tov_pct","opp_orb_pct","opp_drb_pct","opp_shot_chances","opp_success_count","opp_ft_d_pct","opp_ft_rate","opp_fbp_pct","opp_scp_pct","opp_scp_rtg","opp_pitp_pct","opp_perimeter_pts_pct","opp_pft_pct","opp_pft_rtg","opp_vps","home_opp_efg_pct","away_opp_efg_pct","home_opp_ts_pct","away_opp_ts_pct","created_at","updated_at"
504734,"706","703",true,56,21,66,0.3182,15,39,0.3846,6,27,0.2222,8,17,0.4706,13,26,39,16,5,1,3,9,20,21,,2,9,26,71.0462,71.0462,78.8220,114.0104,-35.1884,22.5206,12.6678,0.8462,0.6923,0.3636,0.3811,76.1905,10.9117,1.7778,0.2956,,0.2858,0.2576,27.0833,63.4146,0.1964,0.0357,0.1607,0.4643,,0.5308,0.3674,0.5357,0.3214,0.1429,,,,,82.4800,,,,,54.0000,,,,,,,,0,0,,71.0462,0.5000,0.5304,0.6129,0.2703,0.4060,0.4845,0.4691,0.3704,0.1605,72.4138,1.6154,29.5583,14.5479,36.5854,72.9167,89.3600,,,,0.1481,0.2716,1.4667,0.4198,,0.2099,1.8889,,,,,,2026-08-18 18:07:46.184 +0900,2026-08-18 18:07:46.184 +0900
504734,"703","706",false,81,29,68,0.4265,19,31,0.6129,10,37,0.2703,13,19,0.6842,15,35,50,21,4,3,1,13,21,20,,12,22,34,71.0462,71.0462,114.0104,78.8220,35.1884,29.5583,18.2980,1.8889,1.4667,0.5000,0.5304,72.4138,14.5479,1.6154,0.4082,,0.2619,0.2794,36.5854,72.9167,0.2099,0.1481,0.2716,0.4198,,0.4060,0.4845,0.4691,0.3704,0.1605,,,,,89.3600,,,,,101.0000,,,,,,,,0,0,,71.0462,0.3636,0.3811,0.3846,0.2222,0.5308,0.3674,0.5357,0.3214,0.1429,76.1905,1.7778,22.5206,10.9117,27.0833,63.4146,82.4800,,,,0.0357,0.1607,0.6923,0.4643,,0.1964,0.8462,,,,,,2026-08-18 18:07:46.184 +0900,2026-08-18 18:07:46.184 +0900
504748,"700","697",true,85,30,69,0.4348,21,44,0.4773,9,25,0.3600,16,24,0.6667,17,23,40,25,9,3,4,14,20,22,,19,17,42,75.6756,75.6756,112.3215,125.5358,-13.2143,33.0357,18.5000,1.3077,1.0000,0.5000,0.5342,83.3333,14.9637,1.7857,0.3964,,0.2765,0.3478,39.5349,63.8889,0.2000,0.2235,0.2000,0.4941,,0.5530,0.3142,0.4941,0.3176,0.1882,,,,,93.5600,,,,,101.0000,,,,,,,,0,0,,75.6756,0.6159,0.6283,0.5610,0.4643,0.5423,0.3704,0.4842,0.4105,0.1053,75.0000,2.0769,35.6786,14.6727,36.1111,60.4651,88.6000,,,,0.0947,0.1684,1.2308,0.4421,,0.2211,1.5000,,,,,,2026-08-18 18:07:46.184 +0900,2026-08-18 18:07:46.184 +0900
504748,"697","700",false,95,36,69,0.5217,23,41,0.5610,13,28,0.4643,10,15,0.6667,13,26,39,27,8,4,3,13,22,20,,9,16,42,75.6756,75.6756,125.5358,112.3215,13.2143,35.6786,17.1786,1.5000,1.2308,0.6159,0.6283,75.0000,14.6727,2.0769,0.4757,,0.2646,0.2174,36.1111,60.4651,0.2211,0.0947,0.1684,0.4421,,0.5423,0.3704,0.4842,0.4105,0.1053,,,,,88.6000,,,,,122.0000,,,,,,,,0,0,,75.6756,0.5000,0.5342,0.4773,0.3600,0.5530,0.3142,0.4941,0.3176,0.1882,83.3333,1.7857,33.0357,14.9637,39.5349,63.8889,93.5600,,,,0.2235,0.2000,1.0000,0.4941,,0.2000,1.3077,,,,,,2026-08-18 18:07:46.184 +0900,2026-08-18 18:07:46.184 +0900
504750,"1638","698",true,92,34,81,0.4198,20,35,0.5714,14,46,0.3043,10,11,0.9091,16,33,49,26,7,2,2,7,23,14,,9,19,34,75.1885,75.1885,122.3592,90.4394,31.9198,34.5798,9.3099,1.5385,1.1875,0.5062,0.5359,76.4706,7.5399,3.7143,0.4522,,0.1631,0.1358,35.5556,78.5714,0.2174,0.0978,0.2065,0.3696,,0.4077,0.5359,0.4348,0.4565,0.1087,,,,,92.8400,,,,,121.0000,,,,,,,,0,0,,75.1885,0.4127,0.4678,0.5263,0.1600,0.5228,0.3440,0.5882,0.1765,0.2353,54.1667,1.0000,17.2899,15.1727,21.4286,64.4444,85.6800,,,,0.2353,0.1912,1.4444,0.5588,,0.1176,1.1429,,,,,,2026-08-18 18:07:46.184 +0900,2026-08-18 18:07:46.184 +0900
504750,"698","1638",false,68,24,63,0.3810,20,38,0.5263,4,25,0.1600,16,22,0.7273,9,29,38,13,3,2,2,13,15,22,,16,13,38,75.1885,75.1885,90.4394,122.3592,-31.9198,17.2899,17.2899,1.1429,1.4444,0.4127,0.4678,54.1667,15.1727,1.0000,0.3192,,0.3027,0.3492,21.4286,64.4444,0.1176,0.2353,0.1912,0.5588,,0.5228,0.3440,0.5882,0.1765,0.2353,,,,,85.6800,,,,,66.0000,,,,,,,,0,0,,75.1885,0.5062,0.5359,0.5714,0.3043,0.4077,0.5359,0.4348,0.4565,0.1087,76.4706,3.7143,34.5798,7.5399,35.5556,78.5714,92.8400,,,,0.0978,0.2065,1.1875,0.3696,,0.2174,1.5385,,,,,,2026-08-18 18:07:46.184 +0900,2026-08-18 18:07:46.184 +0900
504730,"745","720",true,74,28,69,0.4058,15,33,0.4545,13,36,0.3611,5,8,0.6250,10,25,35,15,7,0,0,10,23,19,,8,11,22,73.2456,73.2456,101.0299,117.4132,-16.3832,20.4790,13.6527,1.4615,1.1000,0.5000,0.5102,53.5714,12.1183,1.5000,0.3823,,0.2620,0.1159,23.8095,73.5294,0.2568,0.1081,0.1486,0.2973,,0.4550,0.4964,0.4054,0.5270,0.0676,,,,,82.5200,,,,,77.0000,,,,,,,,0,0,,73.2456,0.5403,0.5999,0.6216,0.2800,0.5162,0.3488,0.5349,0.2442,0.2209,73.3333,1.6923,30.0359,15.3519,26.4706,76.1905,84.6800,,,,0.1628,0.0930,0.8889,0.5116,,0.1047,0.9000,,,,,,2026-08-18 18:07:46.184 +0900,2026-08-18 18:07:46.184 +0900
504730,"720","745",false,86,30,62,0.4839,23,37,0.6216,7,25,0.2800,19,22,0.8636,9,32,41,22,4,0,0,13,19,23,,14,8,44,73.2456,73.2456,117.4132,101.0299,16.3832,30.0359,17.7485,0.9000,0.8889,0.5403,0.5999,73.3333,15.3519,1.6923,0.4096,,0.3209,0.3548,26.4706,76.1905,0.1047,0.1628,0.0930,0.5116,,0.5162,0.3488,0.5349,0.2442,0.2209,,,,,84.6800,,,,,105.0000,,,,,,,,0,0,,73.2456,0.5000,0.5102,0.4545,0.3611,0.4550,0.4964,0.4054,0.5270,0.0676,53.5714,1.5000,20.4790,12.1183,23.8095,73.5294,82.5200,,,,0.1081,0.1486,1.1000,0.2973,,0.2568,1.4615,,,,,,2026-08-18 18:07:46.184 +0900,2026-08-18 18:07:46.184 +0900
504732,"2486","2488",true,97,38,68,0.5588,31,54,0.5741,7,14,0.5000,14,18,0.7778,11,33,44,25,8,3,2,19,24,21,,28,18,56,82.5158,82.5158,117.5533,113.9176,3.6357,30.2972,23.0259,1.3333,1.6364,0.6103,0.6388,65.7895,20.0169,1.3158,0.4605,,0.2766,0.2647,35.4839,68.7500,0.1649,0.2887,0.1856,0.5773,,0.7113,0.1844,0.6392,0.2165,0.1443,,,,,94.9200,,,,,124.0000,,,,,,,,1,0,,82.5158,0.5260,0.5506,0.5676,0.3250,0.4335,0.4686,0.4468,0.4149,0.1383,64.7059,1.8333,26.6616,12.3254,31.2500,64.5161,97.3600,,,,0.2340,0.1489,0.9333,0.4468,,0.3085,1.5263,,,,,,2026-08-18 18:07:46.184 +0900,2026-08-18 18:07:46.184 +0900
504732,"2488","2486",false,94,34,77,0.4416,21,37,0.5676,13,40,0.3250,13,19,0.6842,15,20,35,22,10,2,3,12,21,24,,22,14,42,82.5158,82.5158,113.9176,117.5533,-3.6357,26.6616,14.5427,1.5263,0.9333,0.5260,0.5506,64.7059,12.3254,1.8333,0.4120,,0.2812,0.2468,31.2500,64.5161,0.3085,0.2340,0.1489,0.4468,,0.4335,0.4686,0.4468,0.4149,0.1383,,,,,97.3600,,,,,102.0000,,,,,,,,0,1,,82.5158,0.6103,0.6388,0.5741,0.5000,0.7113,0.1844,0.6392,0.2165,0.1443,65.7895,1.3158,30.2972,20.0169,35.4839,68.7500,94.9200,,,,0.2887,0.1856,1.6364,0.5773,,0.1649,1.3333,,,,,,2026-08-18 18:07:46.184 +0900,2026-08-18 18:07:46.184 +0900
