"schedule_key","season","code","convention_key","convention_name_j","convention_name_e","year","setu","max_period","game_current_period","game_datetime_unix","stadium_cd","stadium_name_j","stadium_name_e","attendance","game_ended_flg","record_fixed_flg","boxscore_exists_flg","play_by_play_exists_flg","home_team_id","away_team_id","home_team_score_q1","home_team_score_q2","home_team_score_q3","home_team_score_q4","home_team_score_q5","home_team_score_total","away_team_score_q1","away_team_score_q2","away_team_score_q3","away_team_score_q4","away_team_score_q5","away_team_score_total","referee_id","referee_name_j","sub_referee_id_1","sub_referee_name_j_1","sub_referee_id_2","sub_referee_name_j_2","source_tab","scraped_at","updated_at","game_datetime","game_date","game_type"
7702,"2021-22",546,"75",Bリーグ 2021-22 B1リーグ戦,B.LEAGUE 2021-22 B1 Regular Season,2021,"15",4,4,1641011700,"630",エフピコアリーナふくやま,FPCO Arena Fukuyama,1447,true,true,true,true,"721","696",17,28,19,20,,84,16,21,20,22,,79,1586062,青木 俊博,1586093,小澤 勤,1586174,和嶋 陽一,4,2026-05-26 16:59:40.404 +0900,2026-08-04 17:52:01.948 +0900,"2022-01-01 13:35","2022-01-01",RS
7686,"2021-22",546,"75",Bリーグ 2021-22 B1リーグ戦,B.LEAGUE 2021-22 B1 Regular Season,2021,"15",4,4,1641017100,"100013",ALSOKぐんまアリーナ,ALSOK Gunma Arena,3011,true,true,true,true,"713","703",11,21,12,19,,63,23,16,34,26,,99,1586114,久保 裕紀,1586128,高城 邦弘,1586161,丸山 大,4,2026-05-26 16:59:40.404 +0900,2026-08-04 17:52:01.948 +0900,"2022-01-01 15:05","2022-01-01",RS
7688,"2021-22",546,"75",Bリーグ 2021-22 B1リーグ戦,B.LEAGUE 2021-22 B1 Regular Season,2021,"15",4,4,1641017100,"3",船橋アリーナ,Funabashi Arena,2332,true,true,true,true,"704","716",22,28,18,24,,92,18,14,28,14,,74,1586066,有澤 重行,1586154,細田 知宏,1586070,市川 雄介,4,2026-05-26 16:59:40.404 +0900,2026-08-04 17:52:01.948 +0900,"2022-01-01 15:05","2022-01-01",RS
7700,"2021-22",546,"75",Bリーグ 2021-22 B1リーグ戦,B.LEAGUE 2021-22 B1 Regular Season,2021,"15",4,4,1641098100,"283",松江市総合体育館,Matsue City Gymnasium,1870,true,true,true,true,"720","729",16,20,20,20,,76,18,23,21,29,,91,1586084,漆間 大吾,1586074,伊藤 亮介,1586111,北島 寛臣,4,2026-05-26 16:59:40.404 +0900,2026-08-04 17:52:01.948 +0900,"2022-01-02 13:35","2022-01-02",RS
7684,"2021-22",546,"75",Bリーグ 2021-22 B1リーグ戦,B.LEAGUE 2021-22 B1 Regular Season,2021,"15",4,4,1641099900,"537",アダストリアみとアリーナ,Adastria Mito Arena,1669,true,true,true,true,"712","706",20,12,16,17,,65,31,14,14,22,,81,1586149,東 祐二,1586109,北沢 岳夫,1586079,岩月 遼司,4,2026-05-26 16:59:40.404 +0900,2026-08-04 17:52:01.948 +0900,"2022-01-02 14:05","2022-01-02",RS
7698,"2021-22",546,"75",Bリーグ 2021-22 B1リーグ戦,B.LEAGUE 2021-22 B1 Regular Season,2021,"15",4,4,1641099900,"227",京都市体育館,Kyoto City Gymnasium,998,true,true,true,true,"699","728",22,14,22,20,,78,21,17,16,25,,79,1586065,阿部 聖,1586106,蒲 健一,1586134,東條 輝正,4,2026-05-26 16:59:40.404 +0900,2026-08-04 17:52:01.948 +0900,"2022-01-02 14:05","2022-01-02",RS
7703,"2021-22",546,"75",Bリーグ 2021-22 B1リーグ戦,B.LEAGUE 2021-22 B1 Regular Season,2021,"15",4,4,1641099900,"630",エフピコアリーナふくやま,FPCO Arena Fukuyama,1830,true,true,true,true,"721","696",19,20,20,15,,74,22,26,20,22,,90,1586062,青木 俊博,1586093,小澤 勤,1586174,和嶋 陽一,4,2026-05-26 16:59:40.404 +0900,2026-08-04 17:52:01.948 +0900,"2022-01-02 14:05","2022-01-02",RS
7687,"2021-22",546,"75",Bリーグ 2021-22 B1リーグ戦,B.LEAGUE 2021-22 B1 Regular Season,2021,"15",4,4,1641103500,"100013",ALSOKぐんまアリーナ,ALSOK Gunma Arena,3654,true,true,true,true,"713","703",20,24,24,20,,88,37,13,22,25,,97,1586114,久保 裕紀,1586128,高城 邦弘,1586161,丸山 大,4,2026-05-26 16:59:40.404 +0900,2026-08-04 17:52:01.948 +0900,"2022-01-02 15:05","2022-01-02",RS
7689,"2021-22",546,"75",Bリーグ 2021-22 B1リーグ戦,B.LEAGUE 2021-22 B1 Regular Season,2021,"15",4,4,1641103500,"3",船橋アリーナ,Funabashi Arena,2334,true,true,true,true,"704","716",20,23,27,19,,89,15,19,18,22,,74,1586066,有澤 重行,1586154,細田 知宏,1586070,市川 雄介,4,2026-05-26 16:59:40.404 +0900,2026-08-04 17:52:01.948 +0900,"2022-01-02 15:05","2022-01-02",RS
7692,"2021-22",546,"75",Bリーグ 2021-22 B1リーグ戦,B.LEAGUE 2021-22 B1 Regular Season,2021,"15",4,4,1641103500,"232",横浜国際プール,Yokohama International Pool,1714,true,true,true,true,"694","700",23,27,18,24,,92,7,19,18,23,,67,1586088,大河原 則人,1586097,加川 真,1586147,早崎 康祐,4,2026-05-26 16:59:40.404 +0900,2026-08-04 17:52:01.948 +0900,"2022-01-02 15:05","2022-01-02",RS
7694,"2021-22",546,"75",Bリーグ 2021-22 B1リーグ戦,B.LEAGUE 2021-22 B1 Regular Season,2021,"15",4,4,1641110700,"211",シティホールプラザアオーレ長岡,City Hall Plaza Ao-re Nagaoka,1393,true,true,true,true,"695","726",14,15,23,16,,68,26,17,31,14,,88,1586103,加藤 誉樹,1586101,片寄 達,1586126,鈴木 悟,4,2026-05-26 16:59:40.404 +0900,2026-08-04 17:52:01.948 +0900,"2022-01-02 17:05","2022-01-02",RS
7690,"2021-22",546,"75",Bリーグ 2021-22 B1リーグ戦,B.LEAGUE 2021-22 B1 Regular Season,2021,"15",4,4,1641114300,"8",川崎市とどろきアリーナ,Kawasaki Todoroki Arena,4546,true,true,true,true,"727","697",30,20,26,27,,103,24,10,26,11,,71,1586152,平原 勇次,1607998,佐藤 誠,1586091,大野 哲広,4,2026-05-26 16:59:40.404 +0900,2026-08-04 17:52:01.948 +0900,"2022-01-02 18:05","2022-01-02",RS
7696,"2021-22",546,"75",Bリーグ 2021-22 B1リーグ戦,B.LEAGUE 2021-22 B1 Regular Season,2021,"15",4,4,1641114300,"220",ウカルちゃんアリーナ,Ukaru-chan Arena,1221,true,true,true,true,"698","693",19,16,22,20,,77,23,18,30,23,,94,1586155,堀内 純,1586156,眞榮喜 工,1586165,守谷 圭介,4,2026-05-26 16:59:40.404 +0900,2026-08-04 17:52:01.948 +0900,"2022-01-02 18:05","2022-01-02",RS
7704,"2021-22",546,"75",Bリーグ 2021-22 B1リーグ戦,B.LEAGUE 2021-22 B1 Regular Season,2021,"15",4,4,1641114300,"100005",沖縄アリーナ,Okinawa Arena,5201,true,true,true,true,"701","702",18,24,25,24,,91,20,14,22,26,,82,1586150,平出 剛,1586116,久米 克弥,1586168,柳田 雅人,4,2026-05-26 16:59:40.404 +0900,2026-08-04 17:52:01.948 +0900,"2022-01-02 18:05","2022-01-02",RS
7701,"2021-22",546,"75",Bリーグ 2021-22 B1リーグ戦,B.LEAGUE 2021-22 B1 Regular Season,2021,"15",4,4,1641184500,"283",松江市総合体育館,Matsue City Gymnasium,1898,true,true,true,true,"720","729",24,16,28,20,,88,23,22,18,18,,81,1586084,漆間 大吾,1586074,伊藤 亮介,1586111,北島 寛臣,4,2026-05-26 16:59:40.404 +0900,2026-08-04 17:52:01.948 +0900,"2022-01-03 13:35","2022-01-03",RS
