"affiliation_id","player_id","team_id","jersey_number","valid_from","valid_to","first_schedule_key","last_schedule_key","detected_from","created_at"
973,"8615","698","1",2020-10-03 17:05:00.000 +0900,,5868,6451,player_game_stats_insert,2026-05-26 16:59:19.085 +0900
977,"10262","698","45",2020-10-03 17:05:00.000 +0900,,5868,6451,player_game_stats_transfer,2026-05-26 16:59:19.085 +0900
2409,"51000512","745","1",2025-10-04 15:05:00.000 +0900,,504730,505253,player_game_stats_insert,2026-08-18 18:07:46.869 +0900
2473,"22486","729","21",2025-10-04 16:05:00.000 +0900,,504744,505172,player_game_stats_insert,2026-08-18 18:07:46.869 +0900
1983,"51000446","745","13",2024-12-21 15:05:00.000 +0900,2025-10-04 16:05:00.000 +0900,502982,504744,player_game_stats_insert,2026-05-26 17:00:27.868 +0900
1025,"33093","728","21",2020-10-17 14:05:00.000 +0900,2021-10-16 18:05:00.000 +0900,5910,7476,player_game_stats_insert,2026-05-26 16:59:19.085 +0900
1015,"32989","703","5",2020-10-10 15:05:00.000 +0900,2022-10-01 15:05:00.000 +0900,5874,500003,player_game_stats_insert,2026-05-26 16:59:19.085 +0900
2074,"5100000051","706","5",2025-02-01 16:05:00.000 +0900,2025-03-05 19:05:00.000 +0900,503114,503187,player_game_stats_transfer,2026-05-26 17:00:31.559 +0900
2552,"51000438","720","0",2025-11-01 15:05:00.000 +0900,2025-12-06 14:05:00.000 +0900,504880,504980,player_game_stats_transfer,2026-08-18 18:19:47.904 +0900
1018,"12641","700","41",2020-10-10 18:05:00.000 +0900,2022-10-22 15:35:00.000 +0900,5878,500095,player_game_stats_transfer,2026-05-26 16:59:19.085 +0900
1012,"8731","696","31",2020-10-03 18:05:00.000 +0900,,5870,6946,player_game_stats_transfer,2026-05-26 16:59:19.085 +0900
1085,"5100000044","700","34",2021-03-17 19:05:00.000 +0900,2021-10-02 14:05:00.000 +0900,6230,7428,player_game_stats_insert,2026-05-26 16:59:29.182 +0900
1034,"33038","698","5",2020-10-17 18:05:00.000 +0900,,5904,500380,player_game_stats_insert,2026-05-26 16:59:19.476 +0900
1017,"33039","698","12",2020-10-10 17:05:00.000 +0900,2023-10-07 16:35:00.000 +0900,5884,501299,player_game_stats_insert,2026-05-26 16:59:19.085 +0900
927,"8835","703","4",2020-10-03 15:05:00.000 +0900,2023-10-21 17:05:00.000 +0900,5854,501345,player_game_stats_transfer,2026-05-26 16:59:19.085 +0900
903,"30434","696","14",2020-03-14 17:05:00.000 +0900,2021-10-02 17:05:00.000 +0900,4564,7432,player_game_stats_insert,2026-05-26 16:59:16.393 +0900
969,"10818","728","8",2020-10-03 17:05:00.000 +0900,2021-10-02 18:05:00.000 +0900,5858,7424,player_game_stats_transfer,2026-05-26 16:59:19.085 +0900
779,"20024","696","13",2019-10-05 18:05:00.000 +0900,2021-10-02 18:05:00.000 +0900,4161,7426,player_game_stats_transfer,2026-05-26 16:59:07.291 +0900
2116,"10297","703","11",2019-10-16 19:05:00.000 +0900,2020-02-12 19:05:00.000 +0900,4188,4402,backfill,2026-05-26 18:08:34.945 +0900
2117,"10297","700","11",2020-02-12 19:05:00.000 +0900,2020-02-15 15:05:00.000 +0900,4185,4185,backfill,2026-05-26 18:08:34.945 +0900
2118,"15815","726","75",2021-01-24 19:05:00.000 +0900,2023-01-13 19:00:00.000 +0900,7732,500705,backfill,2026-05-26 18:08:34.945 +0900
2120,"20017","706","5",2019-10-20 15:05:00.000 +0900,2021-03-14 19:05:00.000 +0900,4171,6439,backfill,2026-05-26 18:08:34.945 +0900
2121,"20017","726","5",2021-03-14 19:05:00.000 +0900,2023-10-07 16:05:00.000 +0900,7841,500706,backfill,2026-05-26 18:08:34.945 +0900
2122,"26898","697","7",2019-10-13 14:05:00.000 +0900,2019-12-11 19:35:00.000 +0900,4179,4282,backfill,2026-05-26 18:08:34.945 +0900
2123,"26913","701","4",2019-10-19 19:05:00.000 +0900,2020-10-03 17:05:00.000 +0900,4185,4563,backfill,2026-05-26 18:08:34.945 +0900
2124,"30349","700","13",2019-12-21 15:05:00.000 +0900,2022-10-01 15:05:00.000 +0900,4185,8077,backfill,2026-05-26 18:08:34.945 +0900
2126,"30398","701","88",2019-12-29 19:05:00.000 +0900,2024-10-05 14:05:00.000 +0900,4185,502540,backfill,2026-05-26 18:08:34.945 +0900
2128,"30465","694","6",2020-02-01 15:05:00.000 +0900,2020-10-03 18:05:00.000 +0900,4174,4567,backfill,2026-05-26 18:08:34.945 +0900
2130,"30513","693","3",2020-02-09 15:05:00.000 +0900,2023-10-07 18:05:00.000 +0900,4174,500700,backfill,2026-05-26 18:08:34.945 +0900
2132,"36414","698","7",2021-03-14 19:35:00.000 +0900,2021-10-02 14:05:00.000 +0900,7766,8073,backfill,2026-05-26 18:08:34.945 +0900
2133,"5100000016","713","8",2021-01-04 15:05:00.000 +0900,2021-01-24 14:05:00.000 +0900,7710,500698,backfill,2026-05-26 18:08:34.945 +0900
2134,"5100000017","720","12",2021-01-27 13:35:00.000 +0900,2024-10-05 14:05:00.000 +0900,7748,7846,backfill,2026-05-26 18:08:34.945 +0900
2135,"5100000041","693","1",2021-01-02 18:05:00.000 +0900,2023-01-13 19:00:00.000 +0900,6225,500700,backfill,2026-05-26 18:08:34.945 +0900
2137,"51000100","726","22",2021-01-04 17:05:00.000 +0900,2021-01-27 13:35:00.000 +0900,7712,7754,backfill,2026-05-26 18:08:34.945 +0900
2138,"51000100","726","22",2021-01-27 13:35:00.000 +0900,2021-03-14 19:05:00.000 +0900,7781,7825,backfill,2026-05-26 18:08:34.945 +0900
2139,"51000100","697","22",2021-03-14 19:05:00.000 +0900,2021-03-28 19:05:00.000 +0900,7855,8069,backfill,2026-05-26 18:08:34.945 +0900
2140,"51000100","697","22",2021-03-28 19:05:00.000 +0900,2022-05-04 14:05:00.000 +0900,7757,7757,backfill,2026-05-26 18:08:34.945 +0900
