"history_id","player_id","player_name_j","player_name_e","valid_from","valid_to","detected_from","created_at"
1,"8466",水町 亮介,Ryosuke Mizumachi,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
2,"8467",安藤 誓哉,Seiya Ando,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
3,"8468",田口 成浩,Shigehiro Taguchi,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
5,"8469",菅澤 紀行,Noriyuki Sugasawa,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
6,"9058",スコット・モリソン,Scott Morrison,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
7,"9059",ケビン・パルマー,Kevin Palmer,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
8,"8735",高橋　憲一,Kenichi Takahashi,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
9,"9060",藤江　建典,Tatsunori Fujie,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
10,"8760",ディショーン・スティーブンス,Deshawn Stephens,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
11,"8661",長谷川　誠,"",2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
504,"9331",セドリック・ボーズマン,Cedric Bozeman,2026-05-26 16:58:35.172 +0900,,players_insert,2026-05-26 16:58:35.172 +0900
505,"8529",鵤 誠司,Seiji Ikaruga,2026-05-26 16:58:35.172 +0900,,players_insert,2026-05-26 16:58:35.172 +0900
506,"9435",カイル・リチャードソン,Kyle Richardson,2026-05-26 16:58:35.172 +0900,,players_insert,2026-05-26 16:58:35.172 +0900
20,"9036",田村　大輔,Daisuke Tamura,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
507,"12511",長谷川 健志,"",2026-05-26 16:58:35.172 +0900,,players_insert,2026-05-26 16:58:35.172 +0900
24,"9417",伊藤　拓摩,"",2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
508,"8587",橋本 竜馬,Ryoma Hashimoto,2026-05-26 16:58:35.172 +0900,,players_update,2026-05-26 16:58:35.172 +0900
509,"12636",ダニエル・オルトン,Daniel Orton,2026-05-26 16:58:35.172 +0900,,players_insert,2026-05-26 16:58:35.172 +0900
510,"8590",狩俣 昌也,Masaya Karimata,2026-05-26 16:58:35.172 +0900,,players_update,2026-05-26 16:58:35.172 +0900
511,"8589",比江島 慎,Makoto Hiejima,2026-05-26 16:58:35.172 +0900,,players_update,2026-05-26 16:58:35.172 +0900
30,"9405",森川　正明,Masaaki Morikawa,2026-05-26 16:51:46.437 +0900,2026-05-26 16:58:35.172 +0900,players_insert,2026-05-26 16:51:46.437 +0900
512,"9405",森川 正明,Masaaki Morikawa,2026-05-26 16:58:35.172 +0900,,players_update,2026-05-26 16:58:35.172 +0900
513,"8592",金丸 晃輔,Kosuke Kanamaru,2026-05-26 16:58:35.172 +0900,,players_update,2026-05-26 16:58:35.172 +0900
18,"9034",松井　啓十郎,Keijuro Matsui,2026-05-26 16:51:46.437 +0900,2026-05-26 16:58:35.172 +0900,players_insert,2026-05-26 16:51:46.437 +0900
514,"9034",松井 啓十郎,Keijuro Matsui,2026-05-26 16:58:35.172 +0900,,players_update,2026-05-26 16:58:35.172 +0900
515,"8595",加藤 寿一,Toshikazu Kato,2026-05-26 16:58:35.172 +0900,,players_update,2026-05-26 16:58:35.172 +0900
516,"8596",桜木 ジェイアール,JR Sakuragi,2026-05-26 16:58:35.172 +0900,,players_update,2026-05-26 16:58:35.172 +0900
37,"9419",鈴木　貴美一,"",2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
517,"8844",ジョシュ・デービス,Josh Davis,2026-05-26 16:58:35.172 +0900,,players_insert,2026-05-26 16:58:35.172 +0900
39,"8736",藤永 佳昭,Yoshiaki Fujinaga,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
40,"8737",船生 誠也,Seiya Funyu,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
41,"8738",張本 天傑,Tenketsu Harimoto,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
42,"8515",鵜澤 潤,Jun Uzawa,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
43,"8516",中東 泰斗,Taito Nakahigashi,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
45,"8517",笹山 貴哉,Takaya Sasayama,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
46,"9383",ジャスティン・バーレル,Justin Burrell,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
47,"9382",ジェロウム・ティルマン,Jerome Tillman,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
48,"9429",レジー・ゲーリー,"",2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
49,"8482",藤井 祐眞,Yuma Fujii,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
50,"8483",晴山 ケビン,Kevin Hareyama,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
51,"8484",篠山 竜青,Ryusei Shinoyama,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
52,"8485",栗原 貴宏,Takahiro Kurihara,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
53,"8486",野本 建吾,Kengo Nomoto,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
55,"8487",辻 直人,Naoto Tsuji,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
56,"8488",谷口 光貴,Hiroki Taniguchi,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
57,"8489",鎌田 裕也,Yuya Kamata,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
520,"8588",柏木 真介,Shinsuke Kashiwagi,2026-05-26 16:58:35.172 +0900,,players_update,2026-05-26 16:58:35.172 +0900
60,"8492",長谷川 技,Takumi Hasegawa,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
61,"8493",永吉 佑也,Yuya Nagayoshi,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
62,"8691",北 卓也,"",2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
66,"8455",蒲谷 正之,Masayuki Kabaya,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
44,"8739",中務　敏宏,Toshihiro Nakatsuka,2026-05-26 16:51:46.437 +0900,2026-05-26 16:58:35.172 +0900,players_insert,2026-05-26 16:51:46.437 +0900
69,"8710",堀川　竜一,Ryuichi Horikawa,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
521,"8739",中務 敏宏,Toshihiro Nakatsuka,2026-05-26 16:58:35.172 +0900,,players_update,2026-05-26 16:58:35.172 +0900
71,"8454",山田 謙治,Kenji Yamada,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
73,"8711",喜久山　貴一,Kiichi Kikuyama,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
522,"12518",梶山 信吾,"",2026-05-26 16:58:35.172 +0900,,players_insert,2026-05-26 16:58:35.172 +0900
63,"8712",細谷　将司,Masashi Hosoya,2026-05-26 16:51:46.437 +0900,2026-05-26 16:58:35.172 +0900,players_insert,2026-05-26 16:51:46.437 +0900
23,"9039",伊藤　大司,Taishi Ito,2026-05-26 16:51:46.437 +0900,2026-05-26 16:58:36.644 +0900,players_insert,2026-05-26 16:51:46.437 +0900
518,"10871",小澤 智将,Ozawa Tomomasa,2026-05-26 16:58:35.172 +0900,2026-05-26 16:58:36.644 +0900,players_insert,2026-05-26 16:58:35.172 +0900
72,"8720",竹田　謙,Ken Takeda,2026-05-26 16:51:46.437 +0900,2026-05-26 16:58:36.644 +0900,players_insert,2026-05-26 16:51:46.437 +0900
4,"8734",白濱　僚祐,Ryosuke Shirahama,2026-05-26 16:51:46.437 +0900,2026-05-26 16:58:52.170 +0900,players_insert,2026-05-26 16:51:46.437 +0900
68,"8713",湊谷　安玲久司朱,Alexis Minatoya,2026-05-26 16:51:46.437 +0900,2026-05-26 16:58:52.170 +0900,players_insert,2026-05-26 16:51:46.437 +0900
519,"12591",ジュフ・バンバ,Diouf Bamba,2026-05-26 16:58:35.172 +0900,2026-05-26 16:58:56.264 +0900,players_insert,2026-05-26 16:58:35.172 +0900
75,"9335",青木　勇人,Taketo aoki,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
78,"8579",マイケル・パーカー,Michael Parker,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
80,"9056",ヒルトン・アームストロング,Hilton Armstrong,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
85,"9057",タイラー・ストーン,Tyler Stone,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
89,"8650",田臥 勇太,Yuta Tabuse,2026-05-26 16:51:46.437 +0900,,players_insert,2026-05-26 16:51:46.437 +0900
523,"8712",細谷 将司,Masashi Hosoya,2026-05-26 16:58:35.172 +0900,,players_update,2026-05-26 16:58:35.172 +0900
