"player_id","player_name_j","player_name_e","last_seen_team_id","last_seen_jersey_number","created_at","updated_at","old_player_id","player_slot_category","league_registered_nationality","birthplace","entity_type"
"12598",ジョシュ・ホーキンソン,Josh Hawkinson,"726","8",2026-02-24 14:57:28.719 +0900,2026-08-24 16:12:23.925 +0900,,帰化選手,日本,アメリカ合衆国,player
"10838",坂東 拓,Taku Bando,"699","14",2026-05-26 16:58:35.172 +0900,2026-06-02 18:04:44.171 +0900,,日本人選手,日本,香川県,player
"12631",ジョシュ・スコット,Josh Scott,"703","40",2026-03-05 22:29:27.395 +0900,2026-03-05 22:29:27.395 +0900,,外国籍選手,外国籍,アメリカ,player
"51000324",劉 駿霆,Chun-Ting Liu,"3013","6",2026-03-05 22:32:07.128 +0900,2026-03-05 22:32:07.128 +0900,"45858",外国籍選手,チャイニーズタイペイ,チャイニーズタイペイ,player
"8838",安部 潤,Jun Abe,"720","32",2026-05-26 16:58:35.172 +0900,2026-06-02 18:04:44.172 +0900,,日本人選手,日本,島根県,player
"51000332",チュアンシン・リュウ,Liu Chuanxing,"3013","12",2026-03-05 22:32:07.128 +0900,2026-03-05 22:32:07.128 +0900,"45850",外国籍選手,中華人民共和国,中国,player
"8518",大塚 勇人,Yuto Otsuka,"718","6",2026-05-26 16:58:35.172 +0900,2026-06-02 18:04:45.044 +0900,,日本人選手,日本,埼玉県,player
"51000461",星川 開聖,Kaisei Hoshikawa,"703","17",2026-03-03 17:46:17.378 +0900,2026-03-03 17:46:17.378 +0900,,日本人選手,日本,栃木県,player
"15853",野﨑 零也,Reiya Nozaki,"727","12",2026-02-24 14:57:28.719 +0900,2026-08-24 16:12:23.925 +0900,,日本人選手,日本,佐賀県,player
"18433",ロスコ・アレン,Rosco Allen,"727","25",2026-02-24 14:57:28.719 +0900,2026-08-24 16:12:23.925 +0900,,外国籍選手,ハンガリー,ハンガリー,player
"51000333",シェンゼ・リー,Li Shengzhe,"3013","34",2026-03-05 22:32:07.128 +0900,2026-03-05 22:32:07.128 +0900,"45856",外国籍選手,中華人民共和国,中国,player
"19957",熊谷 航,Ko Kumagai,"693","11",2026-02-24 14:57:28.719 +0900,2026-08-24 16:12:23.925 +0900,,日本人選手,日本,大分県,player
