"history_id","team_id","team_name_j","team_name_e","team_short_name_j","team_short_name_e","valid_from","valid_to","detected_from","created_at"
1,"693",秋田ノーザンハピネッツ,AKITA NORTHERN HAPPINETS,秋田,AKITA,2026-05-26 16:51:45.992 +0900,,teams_insert,2026-05-26 16:51:45.992 +0900
3,"728",シーホース三河,SEAHORSES MIKAWA,三河,MIKAWA,2026-05-26 16:51:45.992 +0900,,teams_insert,2026-05-26 16:51:45.992 +0900
4,"729",名古屋ダイヤモンドドルフィンズ,NAGOYA DIAMOND DOLPHINS,名古屋D,NAGOYA D,2026-05-26 16:51:45.992 +0900,,teams_insert,2026-05-26 16:51:45.992 +0900
5,"727",川崎ブレイブサンダース,KAWASAKI BRAVE THUNDERS,川崎,KAWASAKI,2026-05-26 16:51:45.992 +0900,,teams_insert,2026-05-26 16:51:45.992 +0900
9,"692",仙台89ERS,SENDAI 89ERS,仙台,SENDAI,2026-05-26 16:51:45.992 +0900,,teams_insert,2026-05-26 16:51:45.992 +0900
10,"702",レバンガ北海道,LEVANGA HOKKAIDO,北海道,HOKKAIDO,2026-05-26 16:51:45.992 +0900,,teams_insert,2026-05-26 16:51:45.992 +0900
11,"695",新潟アルビレックスBB,NIIGATA ALBIREX BB,新潟,NIIGATA,2026-05-26 16:51:45.992 +0900,,teams_insert,2026-05-26 16:51:45.992 +0900
13,"696",富山グラウジーズ,TOYAMA GROUSES,富山,TOYAMA,2026-05-26 16:51:45.992 +0900,,teams_insert,2026-05-26 16:51:45.992 +0900
14,"697",三遠ネオフェニックス,SAN-EN NEOPHOENIX,三遠,SAN-EN,2026-05-26 16:51:45.992 +0900,,teams_insert,2026-05-26 16:51:45.992 +0900
15,"699",京都ハンナリーズ,KYOTO HANNARYZ,京都,KYOTO,2026-05-26 16:51:45.992 +0900,,teams_insert,2026-05-26 16:51:45.992 +0900
16,"700",大阪エヴェッサ,OSAKA EVESSA,大阪,OSAKA,2026-05-26 16:51:45.992 +0900,,teams_insert,2026-05-26 16:51:45.992 +0900
17,"701",琉球ゴールデンキングス,RYUKYU GOLDEN KINGS,琉球,RYUKYU,2026-05-26 16:51:45.992 +0900,,teams_insert,2026-05-26 16:51:45.992 +0900
19,"786",安養KGC,ANYANG KGC,安養KGC,ANYANG KGC,2026-05-26 16:51:53.792 +0900,,teams_insert,2026-05-26 16:51:53.792 +0900
22,"720",島根スサノオマジック,SHIMANE SUSANOO MAGIC,島根,SHIMANE,2026-05-26 16:58:34.853 +0900,,teams_insert,2026-05-26 16:58:34.853 +0900
23,"718",西宮ストークス,NISHINOMIYA STORKS,西宮,NISHINOMIYA,2026-05-26 16:58:34.853 +0900,,teams_insert,2026-05-26 16:58:34.853 +0900
24,"753",ライジングゼファー福岡,RIZING ZEPHYR FUKUOKA,福岡,FUKUOKA,2026-05-26 16:58:51.803 +0900,,teams_insert,2026-05-26 16:58:51.803 +0900
8,"703",栃木ブレックス,TOCHIGI BREX,栃木,TOCHIGI,2026-05-26 16:51:45.992 +0900,2026-05-26 16:59:06.773 +0900,teams_insert,2026-05-26 16:51:45.992 +0900
26,"716",信州ブレイブウォリアーズ,SHINSHU BRAVE WARRIORS,信州,SHINSHU,2026-05-26 16:59:18.545 +0900,,teams_insert,2026-05-26 16:59:18.545 +0900
27,"721",広島ドラゴンフライズ,HIROSHIMA DRAGONFLIES,広島,HIROSHIMA,2026-05-26 16:59:18.545 +0900,,teams_insert,2026-05-26 16:59:18.545 +0900
12,"726",サンロッカーズ渋谷,Sunrockers-Shibuya,SR渋谷,SR Shibuya,2026-05-26 16:51:45.992 +0900,2026-05-26 16:59:18.545 +0900,teams_insert,2026-05-26 16:51:45.992 +0900
29,"713",群馬クレインサンダーズ,GUNMA CRANE THUNDERS,群馬,GUNMA,2026-05-26 16:59:34.107 +0900,,teams_insert,2026-05-26 16:59:34.107 +0900
30,"712",茨城ロボッツ,IBARAKI ROBOTS,茨城,IBARAKI,2026-05-26 16:59:34.107 +0900,,teams_insert,2026-05-26 16:59:34.107 +0900
31,"717",ファイティングイーグルス名古屋,FIGHTING EAGLES NAGOYA,FE名古屋,FE NAGOYA,2026-05-26 16:59:49.187 +0900,,teams_insert,2026-05-26 16:59:49.187 +0900
18,"698",滋賀レイクスターズ,SHIGA LAKESTARS,滋賀,SHIGA,2026-05-26 16:51:45.992 +0900,2026-05-26 16:59:49.187 +0900,teams_insert,2026-05-26 16:51:45.992 +0900
32,"698",滋賀レイクス,SHIGA LAKES,滋賀,SHIGA,2026-05-26 16:59:49.187 +0900,,teams_update,2026-05-26 16:59:49.187 +0900
7,"704",千葉ジェッツ,CHIBA JETS,千葉,CHIBA,2026-05-26 16:51:45.992 +0900,2026-05-26 16:59:49.187 +0900,teams_insert,2026-05-26 16:51:45.992 +0900
6,"694",横浜ビー・コルセアーズ,YOKOHAMA B-CORSAIRS,横浜,YOKOHAMA,2026-05-26 16:51:45.992 +0900,2026-05-26 16:59:49.187 +0900,teams_insert,2026-05-26 16:51:45.992 +0900
35,"53000065",B.LEAGUE RISING STARS,B.LEAGUE RISING STARS,B.LEAGUE RISING STARS,B.LEAGUE RISING STARS,2026-05-26 16:59:55.805 +0900,,teams_insert,2026-05-26 16:59:55.805 +0900
36,"53000064",B.LEAGUE ASIA ALL-STARS,B.LEAGUE ASIA ALL-STARS,B.LEAGUE ASIA ALL-STARS,B.LEAGUE ASIA ALL-STARS,2026-05-26 16:59:55.805 +0900,,teams_insert,2026-05-26 16:59:55.805 +0900
37,"53000063",B.LEAGUE U18 WEST,B.LEAGUE U18 WEST,B.LEAGUE U18 WEST,B.LEAGUE U18 WEST,2026-05-26 16:59:55.805 +0900,,teams_insert,2026-05-26 16:59:55.805 +0900
38,"53000062",B.LEAGUE U18 EAST,B.LEAGUE U18 EAST,B.LEAGUE U18 EAST,B.LEAGUE U18 EAST,2026-05-26 16:59:55.805 +0900,,teams_insert,2026-05-26 16:59:55.805 +0900
20,"835",B.BLACK,"",B.BLACK,,2026-05-26 16:51:53.792 +0900,2026-05-26 16:59:55.805 +0900,teams_insert,2026-05-26 16:51:53.792 +0900
39,"835",B.BLACK,B.BLACK,B.BLACK,B.BLACK,2026-05-26 16:59:55.805 +0900,,teams_update,2026-05-26 16:59:55.805 +0900
21,"836",B.WHITE,"",B.WHITE,"",2026-05-26 16:51:53.792 +0900,2026-05-26 16:59:55.805 +0900,teams_insert,2026-05-26 16:51:53.792 +0900
40,"836",B.WHITE,B.WHITE,B.WHITE,B.WHITE,2026-05-26 16:59:55.805 +0900,,teams_update,2026-05-26 16:59:55.805 +0900
41,"1638",佐賀バルーナーズ,SAGA BALLOONERS,佐賀,SAGA,2026-05-26 17:00:05.708 +0900,,teams_insert,2026-05-26 17:00:05.708 +0900
2,"706",アルバルク東京,ALVARK TOKYO,A東京,ATOKYO,2026-05-26 16:51:45.992 +0900,2026-05-26 17:00:05.708 +0900,teams_insert,2026-05-26 16:51:45.992 +0900
28,"726",サンロッカーズ渋谷,Sunrockers Shibuya,SR渋谷,SR Shibuya,2026-05-26 16:59:18.545 +0900,2026-05-26 17:00:05.708 +0900,teams_update,2026-05-26 16:59:18.545 +0900
43,"726",サンロッカーズ渋谷,SUNROCKERS SHIBUYA,SR渋谷,SR SHIBUYA,2026-05-26 17:00:05.708 +0900,,teams_update,2026-05-26 17:00:05.708 +0900
44,"2488",長崎ヴェルカ,NAGASAKI VELCA,長崎,NAGASAKI,2026-05-26 17:00:05.708 +0900,,teams_insert,2026-05-26 17:00:05.708 +0900
45,"3012",B.LEAGUE RISING STARS,B.LEAGUE RISING STARS,RISING STARS,RISING STARS,2026-05-26 17:00:12.391 +0900,,teams_insert,2026-05-26 17:00:12.391 +0900
46,"3013",B.LEAGUE ASIA ALL-STARS,B.LEAGUE ASIA ALL-STARS,ASIA ALL-STARS,ASIA ALL-STARS,2026-05-26 17:00:12.391 +0900,,teams_insert,2026-05-26 17:00:12.391 +0900
47,"53000072",B.LEAGUE U18 JADE,B.LEAGUE U18 JADE,B.LEAGUE U18 JADE,B.LEAGUE U18 JADE,2026-05-26 17:00:12.391 +0900,,teams_insert,2026-05-26 17:00:12.391 +0900
