"team_id","team_name_j","team_name_e","team_short_name_j","team_short_name_e","created_at","updated_at"
"702",レバンガ北海道,LEVANGA HOKKAIDO,北海道,HOKKAIDO,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"697",三遠ネオフェニックス,SAN-EN NEOPHOENIX,三遠,SAN-EN,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"704",千葉ジェッツ,CHIBA JETS,千葉J,CHIBA J,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"694",横浜ビー・コルセアーズ,YOKOHAMA B-CORSAIRS,横浜,YOKOHAMA,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"726",サンロッカーズ渋谷,SUNROCKERS SHIBUYA,SR渋谷,SR SHIBUYA,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"703",栃木ブレックス,TOCHIGI BREX,栃木,TOCHIGI,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"727",川崎ブレイブサンダース,KAWASAKI BRAVE THUNDERS,川崎,KAWASAKI,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"700",大阪エヴェッサ,OSAKA EVESSA,大阪,OSAKA,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"729",名古屋ダイヤモンドドルフィンズ,NAGOYA DIAMOND DOLPHINS,名古屋D,NAGOYA D,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"728",シーホース三河,SEAHORSES MIKAWA,三河,MIKAWA,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"695",新潟アルビレックスBB,NIIGATA ALBIREX BB,新潟,NIIGATA,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"693",秋田ノーザンハピネッツ,AKITA NORTHERN HAPPINETS,秋田,AKITA,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"692",仙台89ERS,SENDAI 89ERS,仙台,SENDAI,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"835",B.BLACK,B.BLACK,B.BLACK,B.BLACK,2026-05-26 16:51:53.792 +0900,2026-05-26 16:51:53.792 +0900
"836",B.WHITE,B.WHITE,B.WHITE,B.WHITE,2026-05-26 16:51:53.792 +0900,2026-05-26 16:51:53.792 +0900
"786",安養KGC,ANYANG KGC,安養KGC,ANYANG KGC,2026-05-26 16:51:53.792 +0900,2026-05-26 16:51:53.792 +0900
"706",アルバルク東京,ALVARK TOKYO,A東京,ATOKYO,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"716",信州ブレイブウォリアーズ,SHINSHU BRAVE WARRIORS,信州,SHINSHU,2026-05-26 16:59:18.545 +0900,2026-05-26 16:59:18.545 +0900
"718",西宮ストークス,NISHINOMIYA STORKS,西宮,NISHINOMIYA,2026-05-26 16:58:34.853 +0900,2026-08-24 16:12:23.925 +0900
"753",ライジングゼファー福岡,RIZING ZEPHYR FUKUOKA,福岡,FUKUOKA,2026-05-26 16:58:51.803 +0900,2026-08-24 16:12:23.925 +0900
"696",富山グラウジーズ,TOYAMA GROUSES,富山,TOYAMA,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"701",琉球ゴールデンキングス,RYUKYU GOLDEN KINGS,琉球,RYUKYU,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"713",群馬クレインサンダーズ,GUNMA CRANE THUNDERS,群馬,GUNMA,2026-05-26 16:59:34.107 +0900,2026-08-24 16:12:23.925 +0900
"698",滋賀レイクス,SHIGA LAKES,滋賀,SHIGA,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"2486",アルティーリ千葉,ALTIRI CHIBA,A千葉,A CHIBA,2026-08-18 18:07:45.575 +0900,2026-08-18 18:07:45.575 +0900
"712",茨城ロボッツ,IBARAKI ROBOTS,茨城,IBARAKI,2026-05-26 16:59:34.107 +0900,2026-05-26 16:59:34.107 +0900
"699",京都ハンナリーズ,KYOTO HANNARYZ,京都,KYOTO,2026-05-26 16:51:45.992 +0900,2026-08-24 16:12:23.925 +0900
"1638",佐賀バルーナーズ,SAGA BALLOONERS,佐賀,SAGA,2026-05-26 17:00:05.708 +0900,2026-08-24 16:12:23.925 +0900
"720",島根スサノオマジック,SHIMANE SUSANOO MAGIC,島根,SHIMANE,2026-05-26 16:58:34.853 +0900,2026-08-24 16:12:23.925 +0900
"2488",長崎ヴェルカ,NAGASAKI VELCA,長崎,NAGASAKI,2026-05-26 17:00:05.708 +0900,2026-08-24 16:12:23.925 +0900
"717",ファイティングイーグルス名古屋,FIGHTING EAGLES NAGOYA,FE名古屋,FE NAGOYA,2026-05-26 16:59:49.187 +0900,2026-08-24 16:12:23.925 +0900
"53000065",B.LEAGUE RISING STARS,B.LEAGUE RISING STARS,B.LEAGUE RISING STARS,B.LEAGUE RISING STARS,2026-05-26 16:59:55.805 +0900,2026-05-26 16:59:55.805 +0900
"53000064",B.LEAGUE ASIA ALL-STARS,B.LEAGUE ASIA ALL-STARS,B.LEAGUE ASIA ALL-STARS,B.LEAGUE ASIA ALL-STARS,2026-05-26 16:59:55.805 +0900,2026-05-26 16:59:55.805 +0900
"721",広島ドラゴンフライズ,HIROSHIMA DRAGONFLIES,広島,HIROSHIMA,2026-05-26 16:59:18.545 +0900,2026-08-24 16:12:23.925 +0900
"745",越谷アルファーズ,KOSHIGAYA ALPHAS,越谷,KOSHIGAYA,2026-05-26 17:00:22.467 +0900,2026-08-24 16:12:23.925 +0900
"63000105",KYUSHU UNITED,KYUSHU UNITED,KYUSHU UNITED,KYUSHU UNITED,2026-08-18 18:47:08.066 +0900,2026-08-18 18:47:08.066 +0900
"63000106",B2 SELECTED,B2 SELECTED,B2 SELECTED,B2 SELECTED,2026-08-18 18:47:08.066 +0900,2026-08-18 18:47:08.066 +0900
"63000108",RISING STARS,RISING STARS,RISING STARS,RISING STARS,2026-08-18 18:47:08.066 +0900,2026-08-18 18:47:08.066 +0900
"63000107",ASIA ALL-STARS,ASIA ALL-STARS,ASIA ALL-STARS,ASIA ALL-STARS,2026-08-18 18:47:08.066 +0900,2026-08-18 18:47:08.066 +0900
"53000072",B.LEAGUE U18 JADE,B.LEAGUE U18 JADE,B.LEAGUE U18 JADE,B.LEAGUE U18 JADE,2026-05-26 17:00:12.391 +0900,2026-05-26 17:00:12.391 +0900
"53000073",B.LEAGUE U18 HELIOS,B.LEAGUE U18 HELIOS,B.LEAGUE U18 HELIOS,B.LEAGUE U18 HELIOS,2026-05-26 17:00:12.391 +0900,2026-05-26 17:00:12.391 +0900
"3012",B.LEAGUE RISING STARS,B.LEAGUE RISING STARS,RISING STARS,RISING STARS,2026-05-26 17:00:12.391 +0900,2026-05-26 17:00:12.391 +0900
"3013",B.LEAGUE ASIA ALL-STARS,B.LEAGUE ASIA ALL-STARS,ASIA ALL-STARS,ASIA ALL-STARS,2026-05-26 17:00:12.391 +0900,2026-05-26 17:00:12.391 +0900
"53000063",B.LEAGUE U18 WEST,B.LEAGUE U18 WEST,B.LEAGUE U18 WEST,B.LEAGUE U18 WEST,2026-05-26 16:59:55.805 +0900,2026-05-26 16:59:55.805 +0900
"53000062",B.LEAGUE U18 EAST,B.LEAGUE U18 EAST,B.LEAGUE U18 EAST,B.LEAGUE U18 EAST,2026-05-26 16:59:55.805 +0900,2026-05-26 16:59:55.805 +0900
